username,tweet_date,tweet_text,tweet_link,media_exists
@Skander17499023,"Jun 29, 2023 · 11:54 PM UTC",Le multiverse #emeutes,https://twitter.com/Skander17499023/status/1674567164471148546?s=20,True
@Skander17499023,"Jun 29, 2023 · 11:51 PM UTC",Spiderman a Gotham City 🤦‍♂️ #emeutes,https://twitter.com/Skander17499023/status/1674566375052812292?s=20,True
@KaytezS,"Jun 29, 2023 · 11:57 PM UTC",Voila Spider Man #Emeutes,https://twitter.com/KaytezS/status/1674567731754967041?s=20,True
@MangeuseM,"Jun 29, 2023 · 11:46 PM UTC",Walking dead #emeutes,https://twitter.com/MangeuseM/status/1674565028781981703?s=20,True
@GabRobin31,"Jun 29, 2023 · 11:49 PM UTC","Cette vidéo est édifiante, non pas parce que la personne se met le feu avec son propre cocktail Molotov, mais en raison de la réaction de ses amis qui rient aux éclats plutôt que de l'aider. Ce sont des sociopathes sans affects. Des inadaptés sociaux. #emeutes twitter.com/i/web/status/167…",https://twitter.com/GabRobin31/status/1674565869748338690?s=20,True
@FactMonde,"Jun 29, 2023 · 11:47 PM UTC","🔴🔥[1H45] Tensions en cours dans la capitale : 

Situation confuse à #Paris 

#émeutes #Nahel",https://twitter.com/FactMonde/status/1674565404667129862?s=20,True
@CBKNEWS121,"Jun 29, 2023 · 11:55 PM UTC","🚨 URGENT

Phalempins district in Tourcoing.

Follow @CBKNEWS121 for more updates 

___________________________________

 #emeutes #Nahel #Nanterre #RAID #Lidl #Marseille #République #Clamart #LaBRI #Macron #FranceRiots",https://twitter.com/CBKNEWS121/status/1674567303243988997?s=20,True
@TOpinionna69667,"Jun 29, 2023 · 11:49 PM UTC","« y’a une girafe » 

#emeutes #nanterre",https://twitter.com/TOpinionna69667/status/1674565847245897728?s=20,True
@famoosh,"Jun 29, 2023 · 11:41 PM UTC","Both currently available.
DM for more.

#earthquake #emeutes #deprem #bald #davido #WizkidXAfronation #Chioma #lagos twitter.com/i/web/status/167…",https://twitter.com/famoosh/status/1674563710084317185?s=20,True
@sanestix,"Jun 29, 2023 · 11:52 PM UTC","Cars burning in Parisian suburbs 
#nanterre #emeutes",https://twitter.com/sanestix/status/1674566658235531266?s=20,False
@Histoire2vrai,"Jun 29, 2023 · 11:46 PM UTC",Macron tremble 😂 #emeutes #nanterre #Nael #nahel,https://twitter.com/Histoire2vrai/status/1674565098722017280?s=20,True
@ZainbiMedia,"Jun 29, 2023 · 11:48 PM UTC","Macron's thugs attack French ppl who came to the street after the murder of a teenager by Police for alleged violation of traffic law...
#emeutes
#FranceRiots",https://twitter.com/ZainbiMedia/status/1674565504860602371?s=20,True
